"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"264","LINC01012",-12.2422549427487,2.06534558048008e-14,8.98660025870254e-13,"-"
"265","OTULINL",-11.7466276475484,2.11258946085626e-14,9.15747741013429e-13,"-"
"266","UQCRFS1",-9.87801226700301,2.17359846905035e-14,9.38651338871481e-13,"-"
"267","OGT",-12.4259667826337,2.24385255102296e-14,9.65360833468191e-13,"-"
"268","PVRIG",-9.8411838874607,2.25477732086878e-14,9.66441309135061e-13,"-"
"269","CYTIP",-10.5837824515296,2.27604211355902e-14,9.69939948959848e-13,"-"
"270","MRPL10",-10.8261231568471,2.27982751126629e-14,9.69939948959848e-13,"-"
"271","NOCT",-12.3547267171112,2.29575310412171e-14,9.7311128808288e-13,"-"
"272","HMGN4",-10.2313906974596,2.31138060525987e-14,9.76133419581623e-13,"-"
"273","FCGR3B",-10.2220962386535,2.38195211360101e-14,1.00225215856904e-12,"-"
"274","ADK",-10.2362706273854,2.42898723156653e-14,1.01461004832744e-12,"-"
"275","LIG3",-10.2362706273854,2.42898723156653e-14,1.01461004832744e-12,"-"
"276","P4HTM",-10.5042110334257,2.76135369697178e-14,1.14511443744097e-12,"-"
"277","GIMAP2",-10.5042120495272,2.76134536101339e-14,1.14511443744097e-12,"-"
"278","COL6A2",-11.8285645569979,2.92986701762243e-14,1.21062526731758e-12,"-"
"279","TSPYL1",-9.42182575823264,3.03753480939515e-14,1.25061513819076e-12,"-"
"280","MIR21",-12.1305525238508,3.04845880767747e-14,1.25063022584968e-12,"-"
"281","ACSL6",-12.3427028660202,3.06221787304995e-14,1.25180415329981e-12,"-"
"282","PARD6G-AS1",10.1187097952509,3.14361777110368e-14,1.28052260059106e-12,"+"
"283","HIVEP1",-13.0352313400427,3.15832447315684e-14,1.2819672517015e-12,"-"
"284","PNOC",-9.37836670987031,3.40041996654065e-14,1.37537408998776e-12,"-"
"285","HDAC7",-9.40588234834935,3.46746971558997e-14,1.39757279378884e-12,"-"
"286","EED",-11.8532885755372,3.61924089859903e-14,1.45364406301423e-12,"-"
"287","RIN3",-11.9964603815761,3.8122094548288e-14,1.52581358911562e-12,"-"
"288","BTN3A2",-12.3643158217141,4.03033569980617e-14,1.60751618693311e-12,"-"
"289","TNFSF10",-9.32694035098706,4.06056605229435e-14,1.61396962777527e-12,"-"
"290","EIF4ENIF1",10.2571369083271,4.13178952661591e-14,1.63661607904265e-12,"+"
"291","MAPK13",-10.9108994819012,4.15739608097678e-14,1.64109995815052e-12,"-"
