"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"259","STRA6",10.7626256997914,4.75367058230011e-11,4.19020460980353e-10,"+"
"260","ETV7",10.7181386051987,4.8739184840737e-11,4.25004557345545e-10,"+"
"261","SRGN",-13.6258857776268,4.87371163456803e-11,4.25004557345545e-10,"-"
"262","MIR195",-10.7551149050103,4.87740665898085e-11,4.25004557345545e-10,"-"
"263","LINC01080",10.7035341481223,4.89694121359198e-11,4.25084288617129e-10,"+"
"264","NHLRC3",-10.7376424619874,4.95845821032338e-11,4.2879394296092e-10,"-"
"265","KRTAP5-AS1",-10.7312928359495,5.13860321967854e-11,4.42695515114193e-10,"-"
"266","MIR641",-10.68502512347,5.16229641133952e-11,4.43064763424366e-10,"-"
"267","APBA3",-10.6878276961312,5.2289367570879e-11,4.47103468780212e-10,"-"
"268","SLC2A12",10.6766073552226,5.30643047641625e-11,4.5203659618128e-10,"+"
"269","MIR4774",-10.659862367493,5.49633141745499e-11,4.54662483528926e-10,"-"
"270","CCDC140",-10.6540229466003,5.49657667341145e-11,4.54662483528926e-10,"-"
"271","TRAF3IP2",-10.6540229466003,5.49657667341145e-11,4.54662483528926e-10,"-"
"272","SNX8",-15.5770889112307,5.39179876643724e-11,4.54662483528926e-10,"-"
"273","BUD31",-10.6626224304044,5.450163450156e-11,4.54662483528926e-10,"-"
"274","LINC00051",-10.6626224304044,5.450163450156e-11,4.54662483528926e-10,"-"
"275","FBXL15",-10.6540229466003,5.49657667341145e-11,4.54662483528926e-10,"-"
"276","LOC100505942",-10.6540229466003,5.49657667341145e-11,4.54662483528926e-10,"-"
"277","NDFIP1",10.657822479221,5.68501900920176e-11,4.66866848849195e-10,"+"
"278","MIR548AG2",10.657822479221,5.68501900920176e-11,4.66866848849195e-10,"+"
"279","MIR548I2",-10.6488658243734,5.71737845072749e-11,4.67841397957378e-10,"-"
"280","PAX8",10.6534028222793,5.74803540702019e-11,4.68670172650968e-10,"+"
"281","LINC01907",-10.6473372723493,5.99911961502369e-11,4.83957246681947e-10,"-"
"282","MIR3074",-10.6218967652498,5.99480468190865e-11,4.83957246681947e-10,"-"
"283","LOC100129027",-10.6218967652498,5.99480468190865e-11,4.83957246681947e-10,"-"
"284","SYNDIG1L",10.6118111976253,6.04507020925336e-11,4.8594701717343e-10,"+"
"285","PSMG4",10.5936211408543,6.14070720165663e-11,4.90183025922451e-10,"+"
"286","ENOX1-AS2",10.5936211408543,6.14070720165663e-11,4.90183025922451e-10,"+"
"287","LINC01913",10.5863648689963,6.23804472618675e-11,4.94495003815429e-10,"+"
"288","MIR5587",10.5863648689963,6.23804472618675e-11,4.94495003815429e-10,"+"
