"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1375","SLC27A6",-9.80550683073595,8.71346247827248e-10,6.55442490274708e-09,"-"
"1376","ANP32B",10.4003500143639,8.87234101127583e-10,6.66908597962398e-09,"+"
"1377","DISC1-IT1",9.91039070918368,9.08753856416599e-10,6.82588317858887e-09,"+"
"1378","LINC01140",-10.2030128687297,9.36532907941013e-10,7.02943386562692e-09,"-"
"1379","TMA16",-9.96734321083481,9.75392402128893e-10,7.31505999077972e-09,"-"
"1380","RIPOR2",10.644587125577,9.7600142968926e-10,7.31505999077972e-09,"+"
"1381","CARD18",-9.79022562792487,1.03939935622331e-09,7.78458185475575e-09,"-"
"1382","GHR",-9.77867542157143,1.05101027959199e-09,7.86584610840805e-09,"-"
"1383","GAD1",-10.3669726186273,1.09236194881765e-09,8.16941405395586e-09,"-"
"1384","MIR346",-9.55593137950546,1.09851927892995e-09,8.20952666327488e-09,"-"
"1385","LY86",10.4007571163523,1.14088931741128e-09,8.52001314800352e-09,"+"
"1386","LINC00524",-9.80645893409484,1.15404218383669e-09,8.6120189808246e-09,"-"
"1387","LINC01566",-9.82235286191932,1.1715214359917e-09,8.73615444301522e-09,"-"
"1388","WNT4",-7.99269478262029,1.17711851676938e-09,8.77156831336144e-09,"-"
"1389","MDGA2",-7.99268322985602,1.18045643459589e-09,8.79010864148689e-09,"-"
"1390","LOC100506207",-9.8097666550541,1.19316118643169e-09,8.87832097213163e-09,"-"
"1391","PKP1",-10.0260802825118,1.19709671013074e-09,8.90120149021008e-09,"-"
"1392","LINC00871",-8.16839435748031,1.26725466234977e-09,9.41610271026128e-09,"-"
"1393","LSMEM1",7.87775766385662,1.30453743747411e-09,9.68616706087199e-09,"+"
"1394","FUT10",-9.77599378516137,1.36960877635243e-09,1.01620255192347e-08,"-"
"1395","MIR1275",-8.35573664831964,1.38799595251933e-09,1.02910696321917e-08,"-"
"1396","LINC00628",-9.7969959367046,1.42297630816658e-09,1.05428681628703e-08,"-"
"1397","ACO1",-9.0884722379051,1.43075493218934e-09,1.05929121429022e-08,"-"
"1398","ZMAT3",-10.313820121634,1.49104833157392e-09,1.10314112256574e-08,"-"
"1399","C2CD5",-10.3173977167572,1.49859745008962e-09,1.10786162547999e-08,"-"
"1400","LRRC9",-10.200152947388,1.49957099069127e-09,1.10786162547999e-08,"-"
"1401","AGPAT4",-9.751783576498,1.5090517806696e-09,1.1140701332952e-08,"-"
"1402","MIR3935",-9.91860898266973,1.53823759836133e-09,1.13480681026043e-08,"-"
"1403","LINC01921",-9.68037307652329,1.55237481299999e-09,1.14442000647605e-08,"-"
"1404","LINC00348",-9.55591660305656,1.59891176440635e-09,1.17788777630021e-08,"-"
"1405","SORBS3",-7.67161812857815,1.64036953174245e-09,1.20756883037809e-08,"-"
"1406","LINC01262",-7.90557655051582,1.6439473428369e-09,1.20934191799161e-08,"-"
"1407","LOC100128239",-9.77148447575623,1.69525700490279e-09,1.24620065399499e-08,"-"
"1408","GPR17",-9.53134520584917,1.7141775288254e-09,1.25921435942054e-08,"-"
"1409","ARMC3",-10.2030960919158,1.75058772703002e-09,1.28504818031735e-08,"-"
"1410","LOC101928978",-9.61386222757333,1.75788321021879e-09,1.28948837186475e-08,"-"
"1411","TESPA1",-10.3706411617705,1.86257473193242e-09,1.36531611994167e-08,"-"
"1412","LOC101928731",-10.0039562472828,1.98444908435833e-09,1.45362300846446e-08,"-"
"1413","BBS5",-9.86559258779617,2.04239261455166e-09,1.49500826697154e-08,"-"
"1414","NPAS3",-9.61689246068767,2.04573315673485e-09,1.49639448657062e-08,"-"
"1415","LINC02139",-7.57753460389838,2.1640159862787e-09,1.58179627887496e-08,"-"
"1416","OLFM1",-7.40195637069393,2.17107299553374e-09,1.58471474896298e-08,"-"
"1417","DRAM1",-7.40195637069393,2.17107299553374e-09,1.58471474896298e-08,"-"
"1418","MIR4526",7.87762755341565,2.24736734821622e-09,1.6392468605501e-08,"+"
"1419","HCN1",-9.35287015950098,2.40362740761931e-09,1.75198860303076e-08,"-"
"1420","SREBF1",-9.7723389428405,2.41815629048045e-09,1.76133736003094e-08,"-"
"1421","TRMT11",-9.89875080251747,2.68445959917087e-09,1.95393143097989e-08,"-"
"1422","ALCAM",-9.97785833886546,2.74583856632285e-09,1.99720170826141e-08,"-"
"1423","INSYN2",-9.80631809058319,2.83364647007819e-09,2.05962090232036e-08,"-"
"1424","LINC02408",-9.55585095941103,2.8407869321302e-09,2.06336090161676e-08,"-"
"1425","BTG3",-10.1946252431866,2.86610711559354e-09,2.08029094011115e-08,"-"
"1426","PSME4",-9.78965677231023,2.88779431834809e-09,2.09456217634462e-08,"-"
"1427","TMSB4X",9.94316496963817,2.96381547366476e-09,2.14819505564924e-08,"+"
"1428","KCNK2",-9.57755208077425,2.98094715890338e-09,2.15909919219452e-08,"-"
"1429","CARMIL1",9.26823844930364,2.98444837406173e-09,2.16012243057526e-08,"+"
"1430","COL5A1",-9.12665230885942,3.00745201050466e-09,2.17525008004543e-08,"-"
"1431","LINC02382",-9.55585206540636,3.05487926670217e-09,2.20800952169815e-08,"-"
"1432","ST8SIA4",-9.35300655082501,3.18935970986236e-09,2.30359968429514e-08,"-"
"1433","LINC01524",-9.83592833798249,3.22349777062377e-09,2.32663206151861e-08,"-"
"1434","LMO4",-7.44125311180991,3.27150713337152e-09,2.35963725805172e-08,"-"
"1435","SNCA-AS1",-7.26583305806379,3.33645898720638e-09,2.40313337776292e-08,"-"
"1436","MDFIC",-7.26583305806379,3.33645898720638e-09,2.40313337776292e-08,"-"
"1437","KCNQ1-AS1",-7.42805626341745,3.48233576794606e-09,2.50645781822311e-08,"-"
"1438","LIG4",-9.97785076646502,3.87368438394227e-09,2.78619732845027e-08,"-"
"1439","TFPI",-9.54569020125241,3.89098229211016e-09,2.79669422149377e-08,"-"
"1440","LINC02015",-9.55600109109227,3.91845906726202e-09,2.81448764810355e-08,"-"
"1441","TMEM132D-AS2",-9.67237841583873,3.97554119121962e-09,2.85350607500239e-08,"-"
"1442","VWC2L",7.34903350546254,4.0203333022146e-09,2.87979730206514e-08,"+"
"1443","GABBR2",7.34902868272133,4.02036862641623e-09,2.87979730206514e-08,"+"
"1444","TBK1",7.34901246693449,4.02052335316839e-09,2.87979730206514e-08,"+"
"1445","MIR504",-9.27299294913304,4.33778960379792e-09,3.10489673855238e-08,"-"
"1446","ADAMTS3",-9.27281761613173,4.47149619718368e-09,3.19838763260517e-08,"-"
"1447","MSMB",-9.55581741528636,5.20217145167275e-09,3.71845606942994e-08,"-"
"1448","LINC00520",-9.27243167773338,5.35378618590075e-09,3.82418580944554e-08,"-"
"1449","PRKACG",-9.80768001834675,5.63733971291948e-09,4.0239478709956e-08,"-"
"1450","NR2E3",-7.26738835651795,5.72229647092749e-09,4.08177326888297e-08,"-"
"1451","C7orf33",-9.57749832594791,5.86194266847886e-09,4.17850262026719e-08,"-"
"1452","FSHR",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1453","RBM43",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1454","LOC151484",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1455","MIR3146",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1456","ADAMTSL1",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1457","SMC2-AS1",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1458","LINC01687",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1459","SMS",-7.09188447816949,5.98635010932808e-09,4.2437847279493e-08,"-"
"1460","AGBL4",-9.35295566351503,6.02637551672331e-09,4.26754744583089e-08,"-"
"1461","ELOVL6",-9.32245738465043,6.0281222260069e-09,4.26754744583089e-08,"-"
"1462","CLDN10",-9.55585329524386,6.69308473381421e-09,4.73505987700687e-08,"-"
"1463","SH3PXD2A-AS1",-7.43838377167412,6.77471321693035e-09,4.7895323856945e-08,"-"
"1464","CCK",9.45734721197439,6.79580434013093e-09,4.80116149521682e-08,"+"
"1465","FAM19A1",-8.75202094329168,7.2383035477647e-09,5.11029171293722e-08,"-"
"1466","MAGED1",-9.89111976221808,7.39053865418567e-09,5.21421154844764e-08,"-"
"1467","BHLHE41",9.4102031974639,7.66249830334968e-09,5.40240081469296e-08,"+"
"1468","COL5A2",-9.72248660457688,7.84130413288418e-09,5.52470086147283e-08,"-"
"1469","RUNX2",-9.66536203252579,8.9794874153688e-09,6.322317109405e-08,"-"
"1470","CD8A",9.42022270308707,9.06361505837091e-09,6.37720888086601e-08,"+"
"1471","FAM241B",-9.42272685261337,1.027850670596e-08,7.22709686334085e-08,"-"
"1472","SSBP3-AS1",-9.32420835069959,1.11682141835319e-08,7.84733962637704e-08,"-"
"1473","CRTAM",-9.42274025417341,1.15690382511841e-08,8.1234597849285e-08,"-"
"1474","CLEC4F",-7.0905447456103,1.17649595233944e-08,8.24423959014013e-08,"-"
"1475","PDE6A",-7.09055284145778,1.17646401876734e-08,8.24423959014013e-08,"-"
"1476","TRAPPC10",-7.09055284145778,1.17646401876734e-08,8.24423959014013e-08,"-"
"1477","LINC00358",9.1397135380863,1.19367810035039e-08,8.35897941227087e-08,"+"
