"","Feature","p value","adjusted p value"
"847","LINC00332",9.7118470054046e-05,0.00191306432657583
"46","FOXJ3",9.75641965906207e-05,0.00192024814502321
"372","HMHB1",0.000100024008887663,0.00196702816482237
"477","UBE2D4",0.000100160781290661,0.00196808460550979
"978","MIR3175",0.000101458585868256,0.00199193381053858
"74","RNVU1-17",0.000102964743494479,0.00201983073393101
"1208","GNG8",0.000104133875659793,0.0020410756422747
"1335","CERK",0.00010676608760795,0.00209093882483107
"1216","TMEM143",0.000109768583114904,0.00214796541211717
"611","PSMB7",0.000111053545923839,0.00217131673082279
"607","TRAF1",0.000112020834718749,0.00218842351222604
"476","ELMO1",0.000113256469718646,0.00221074016715218
"169","CDKL4",0.000115884495309067,0.00226017686036128
"545","TACC1",0.000117850542697523,0.00229663183413092
"295","KLHL6-AS1",0.000118870997573504,0.0023146146503692
"1358","DLG3-AS1",0.000124065322423256,0.00241377335423965
"592","ZFAND5",0.000125283925527476,0.00243548251289959
"1355","SLC35A2",0.00012836954079656,0.00249342049857057
"1328","PMM1",0.000128981496194922,0.00250325513131128
"171","PPM1B",0.000129288037760514,0.00250715108904328
"490","TMEM120A",0.000130032451582214,0.00251952494288122
"869","TPPP2",0.000133532356337577,0.00258481312902513
"1062","TMIGD1",0.00013362012419529,0.00258481312902513
"973","LOC101929679",0.000133783545612355,0.00258586352396084
"799","PFDN5",0.000134907716848202,0.00260546712807812
"343","TRIM2",0.00014010908349594,0.0027037173872991
"1130","CCDC57",0.000141091354944858,0.00272045715063328
"212","OLA1",0.000143724798480063,0.00276898093461955
"1185","RAB3A",0.000144076270291914,0.0027734974631255
"775","CHD4",0.000146485419556678,0.0028175852169112
"463","RBAK-RBAKDN",0.000147667715274412,0.00283113418192373
"471","FKBP14",0.000147667715274412,0.00283113418192373
"571","TSTA3",0.000147667715274412,0.00283113418192373
"805","MARCH9",0.000147667715274412,0.00283113418192373
"314","FBXL5",0.000150779100324738,0.00288844974971326
"190","INPP4A",0.000154357428683312,0.00295461065226854
"1310","NCF4",0.00015971321347684,0.00305466022579554
"685","PDCD4",0.000163237168539343,0.00311818443838138
"1086","NPEPPS",0.000163297754485011,0.00311818443838138
"1236","LZTS3",0.000167783463660018,0.00320125985374512
"215","NABP1",0.000168338228243915,0.00320926065542724
"336","ELF2",0.000169401891629834,0.00322694262536348
"204","CXCR4",0.000173479755295148,0.00330196767970211
"352","FYB1",0.000174675599254999,0.00332206073478789
"1372","ZNF275",0.000175711774908183,0.00333908735364812
"1257","MIR6812",0.000177456336332673,0.00336953750166294
"790","SLC38A2",0.000178553433496066,0.0033876546946007
"770","CRACR2A",0.000179107412453802,0.0033954466823342
"1370","HTATSF1",0.00018352340627338,0.00347638222099143
"936","TP53BP1",0.000186861792481732,0.0035367922495524
"691","OAT",0.000187923147523769,0.00355404216031185
"632","MIR4669",0.000189938907485376,0.00358930007231336
"31","THEMIS2",0.000192015998178126,0.00362565984767096
"375","STK32A",0.000200667556333277,0.00377561416294531
"426","BICRAL",0.000201368758472973,0.00377561416294531
"234","SRGAP3",0.000201710238860985,0.00377561416294531
"293","LRRC31",0.000201710238860985,0.00377561416294531
"333","TET2-AS1",0.000201710238860985,0.00377561416294531
"378","RBM22",0.000201710238860985,0.00377561416294531
"524","OR4F21",0.000201710238860985,0.00377561416294531
"574","SLC52A2",0.000201710238860985,0.00377561416294531
"861","DNAJC3-DT",0.000201710238860985,0.00377561416294531
"1081","MIR2117",0.000201710238860985,0.00377561416294531
"1256","PIGT",0.000201710238860985,0.00377561416294531
"25","LDLRAP1",0.000207001090615051,0.00387159024807013
"286","EFCC1",0.000208149891210474,0.0038887992090622
"346","ENPP6",0.000208249406941804,0.0038887992090622
"1319","APOBEC3F",0.000216642124996509,0.00404233735121439
"394","TMEM14B",0.000216925614055275,0.00404444238888108
"673","BTAF1",0.00022099618970854,0.00411709646817867
"347","PP7080",0.000221605646181417,0.00412520738221606
"218","PLCL1",0.000222792740818838,0.00414404990516797
"163","PLB1",0.000225064186946511,0.00418301650044822
"251","NBEAL2",0.000228816410639766,0.00424678440320172
"749","UCP3",0.000228853596779702,0.00424678440320172
"376","HTR4",0.000233231383648911,0.00432463544470129
"947","RPS27L",0.000237153045794894,0.0043939137812366
"440","WISP3",0.000243737343339557,0.00451237798837304
"577","RFX3",0.000247697724337635,0.00458211785607255
"131","C1orf74",0.000248209579926523,0.00458800500430485
"890","LINC00520",0.000254019494175804,0.00469173807754016
"689","INPP5F",0.000254915650181515,0.00470462317940138
"774","VAMP1",0.000257310183275983,0.00474512016582955
"667","ADK",0.000258947221666621,0.00477159588789573
"983","VASN",0.000259919667361977,0.00478579359555305
"576","DMRT2",0.000260745006838555,0.00479726275392331
"1274","EVA1C",0.000265257392499686,0.00487649684256405
"754","LOC283140",0.000270225471196389,0.00496397906274483
"1270","SLC2A4RG",0.000271120408384187,0.00497656105149502
"601","TGFBR1",0.000277382888746183,0.00508757145094296
"974","AEN",0.000278962667401157,0.00511258958190658
"36","NCDN",0.000282916012989986,0.00518103613587612
"684","SMC3",0.000283471592773071,0.00518720180227295
"564","MIR7848",0.000284113367084613,0.0051949339967624
"1313","SH3BP1",0.000285130717871853,0.00520951628481827
"600","CORO2A",0.000286130259469608,0.00522375096968512
"887","FERMT2",0.000287887365847196,0.00525178360930024
"108","SDHC",0.000290015583085495,0.00528653790182843
"1333","RTL6",0.000291759192078428,0.00531423333949462
"873","OXA1L",0.000293586196399309,0.00533944816698237
"188","MIR4779",0.000293594166416763,0.00533944816698237
"244","TMPPE",0.000294261678468348,0.00534748389161385
"176","LINC02579",0.000294945697615008,0.00535580704703666
"152","SNORA80B",0.000296903817801458,0.00538723565883702
