"","Feature","p value","adjusted p value"
"124","GRM7-AS2",1.11862129319343e-08,5.58062500732729e-07
"48","FCRL5",1.46215612329756e-08,7.27914152390383e-07
"386","ANKRD33",1.63992172792067e-08,8.14700737663232e-07
"641","EID2",1.66661912015398e-08,8.22789026881019e-07
"655","IRF2BP1",1.66661912015398e-08,8.22789026881019e-07
"679","NRSN2-AS1",1.66661912015398e-08,8.22789026881019e-07
"162","CYP2U1",1.71514358650815e-08,8.44984564854129e-07
"466","RCN2",1.93326361149491e-08,9.50467796713585e-07
"658","HRC",2.00637445937619e-08,9.84369680410715e-07
"117","SPP2",2.19352395179895e-08,1.07396564226818e-06
"692","SERINC3",2.23916494331389e-08,1.09405137446823e-06
"95","LIMS1",2.35286354450815e-08,1.14723883568333e-06
"711","RUNX1",2.43574225392496e-08,1.18521117435852e-06
"383","MIR4494",2.49362505326806e-08,1.21089001818224e-06
"397","CFAP54",2.76188681500395e-08,1.33841373936909e-06
"677","ZNF418",3.02532287223334e-08,1.46308318578191e-06
"313","PRR26",3.04275919827063e-08,1.4655338358012e-06
"472","PCSK6",3.04275919827063e-08,1.4655338358012e-06
"743","NONO",3.0897565515839e-08,1.48515133880089e-06
"620","MAST3",3.23347048148692e-08,1.55108400809303e-06
"265","RRS1-AS1",3.2823641193307e-08,1.56818916402782e-06
"365","MUS81",3.2823641193307e-08,1.56818916402782e-06
"13","KDM1A",3.55167301515913e-08,1.69344055211722e-06
"718","DIP2A",3.7844058096076e-08,1.80078442711388e-06
"198","HIST1H2BI",4.39560011612582e-08,2.08742557017703e-06
"582","RNF165",6.86887626464643e-08,3.25543521686653e-06
"31","GPR61",8.36246883026588e-08,3.95356770848232e-06
"262","THAP1",8.40865141188797e-08,3.95356770848232e-06
"349","LSP1",8.40865141188797e-08,3.95356770848232e-06
"690","MANBAL",8.40865141188797e-08,3.95356770848232e-06
"505","FAM92B",8.63162115160815e-08,4.05036685999323e-06
"393","LEMD3",9.05830295946659e-08,4.24218587412016e-06
"160","UBE2D3",9.26942583397008e-08,4.33249672559347e-06
"451","LINC02325",9.66338806875323e-08,4.50774226506388e-06
"224","TULP4",9.95122365383398e-08,4.63289090225744e-06
"29","VCAM1",1.06052767918854e-07,4.92771066935898e-06
"275","LY6E-DT",1.09183906896278e-07,5.06327014035439e-06
"195","TMEM14C",1.19335281782587e-07,5.52321908672258e-06
"168","RAI14",1.29078137398321e-07,5.96250413631192e-06
"323","VSTM4",1.37117926815491e-07,6.32156325242547e-06
"184","ARHGAP26-AS1",1.38644144233651e-07,6.3795151182618e-06
"372","MIR4693",1.38936560003423e-07,6.38058074108742e-06
"475","UBE2I",1.4005981922784e-07,6.40733115104655e-06
"518","CAMTA2",1.4005981922784e-07,6.40733115104655e-06
"26","C1orf123",1.46317668076657e-07,6.68071248634402e-06
